Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8018da6040 System                    4      0     89      560 ------      0 2022-08-28 06:42:08 UTC+0000                                 
0xfffffa80199a1950 smss.exe                244      4      2       29 ------      0 2022-08-28 06:42:08 UTC+0000                                 
0xfffffa8019ff4060 csrss.exe               328    320      9      508      0      0 2022-08-28 06:42:16 UTC+0000                                 
0xfffffa801a168b30 csrss.exe               380    372     11      457      1      0 2022-08-28 06:42:18 UTC+0000                                 
0xfffffa801a1914a0 wininit.exe             388    320      3       76      0      0 2022-08-28 06:42:18 UTC+0000                                 
0xfffffa80192a3060 winlogon.exe            424    372      4      112      1      0 2022-08-28 06:42:19 UTC+0000                                 
0xfffffa801a1e4b30 services.exe            484    388      8      215      0      0 2022-08-28 06:42:21 UTC+0000                                 
0xfffffa801a19fb30 lsass.exe               492    388      8      764      0      0 2022-08-28 06:42:22 UTC+0000                                 
0xfffffa801a1f5720 lsm.exe                 500    388      9      148      0      0 2022-08-28 06:42:22 UTC+0000                                 
0xfffffa801a259690 svchost.exe             588    484     11      364      0      0 2022-08-28 06:42:27 UTC+0000                                 
0xfffffa801a27db30 vm3dservice.ex          648    484      4       45      0      0 2022-08-28 06:42:28 UTC+0000                                 
0xfffffa801a280870 svchost.exe             688    484      9      309      0      0 2022-08-28 06:42:29 UTC+0000                                 
0xfffffa801a2c4b30 svchost.exe             776    484     23      589      0      0 2022-08-28 06:42:30 UTC+0000                                 
0xfffffa801a2d9b30 svchost.exe             816    484     25      471      0      0 2022-08-28 06:42:30 UTC+0000                                 
0xfffffa801a2e09e0 svchost.exe             840    484     44     1038      0      0 2022-08-28 06:42:30 UTC+0000                                 
0xfffffa801a307060 audiodg.exe             920    776      5      124      0      0 2022-08-28 06:42:31 UTC+0000                                 
0xfffffa801a3349e0 svchost.exe             992    484     19      762      0      0 2022-08-28 06:42:32 UTC+0000                                 
0xfffffa801a35eb30 svchost.exe             324    484     18      479      0      0 2022-08-28 06:42:33 UTC+0000                                 
0xfffffa801a3b6b30 spoolsv.exe             672    484     13      270      0      0 2022-08-28 06:42:36 UTC+0000                                 
0xfffffa801a3db060 svchost.exe            1056    484     21      300      0      0 2022-08-28 06:42:36 UTC+0000                                 
0xfffffa801a4b9b30 VGAuthService.         1240    484      4       82      0      0 2022-08-28 06:42:39 UTC+0000                                 
0xfffffa801a515450 taskhost.exe           1340    484      9      150      1      0 2022-08-28 06:42:40 UTC+0000                                 
0xfffffa801a545480 dwm.exe                1396    816      4       70      1      0 2022-08-28 06:42:40 UTC+0000                                 
0xfffffa801a56a910 explorer.exe           1456   1388     27      814      1      0 2022-08-28 06:42:40 UTC+0000                                 
0xfffffa801a582b30 vmtoolsd.exe           1496    484     11      270      0      0 2022-08-28 06:42:41 UTC+0000                                 
0xfffffa801a676060 vm3dservice.ex         2044   1456      3       48      1      0 2022-08-28 06:42:47 UTC+0000                                 
